"year","artist","songs","lyrics"
"2012","nickiminaj","starships","redone lets go beach lets go get wave say gonna say drink clink found bud light bad bitches like hard come patrn lets go get zone yes im zone two three leave good tip ima blow money dont give two shits im floor love dance give til cant stand get floor like last chance want starships meant fly hands touch sky cant stop cause high lets one time oh starships meant fly hands touch sky lets one last time cant stop higher motherfucker higher motherfucker higher motherfucker jump hooptie hoop aingt paying rent month owe fuck want fuck like dancehall life theres end sight twinkle little star everybody let hear say ray spend money cause todays payday youre g g name onika call nicki get floor like last chance want starships meant fly hands touch sky cant stop cause high lets one time oh starships meant fly hands touch sky lets one last time cant stop higher motherfucker higher motherfucker higher motherfucker starships meant fly hands touch sky cant stop cause high lets one time oh starships meant fly hands touch sky lets one last time cant stop higher motherfucker higher motherfucker higher motherfucker"
"2012","fun","weareyoung","give second need get story straight friends bathroom getting higher empire state lover shes waiting across bar seats taken sunglasses asking bout scar know gave months ago know youre trying forget drinks subtle things holes apologies know im trying hard take back time bar closes feel like falling ill carry home tonight young lets set world fire burn brighter sun tonight young lets set world fire burn brighter sun know im got guess thought maybe could find new ways fall apart friends back lets raise toast cause found someone carry home tonight young lets set world fire burn brighter sun tonight young lets set world fire burn brighter sun carry home tonight nananananana carry home tonight nananananana carry home tonight nananananana carry home tonight nananananana moon side nananananana reason run nananananana someone come carry home tonight nananananana angels never arrived nananananana hear choir nananananana someone come carry home nananananana tonight young lets set world fire burn brighter sun tonight young lets set world fire burn brighter sun time bar closes feel like falling ill carry home tonight"
"2012","onedirection","whatmakesyoubeautiful","youre insecure dont know youre turning heads walk door dont need make cover way enough everyone else room see everyone else baby light world like nobody else way flip hair gets overwhelmed smile ground aingt hard tell dont know oh dont know youre beautiful saw see youd understand want desperately right im looking cant believe dont know oh dont know youre beautiful oh thats makes beautiful c come got wrong prove im right put song dont know youre shy turn away look eye eyes everyone else room see everyone else baby light world like nobody else way flip hair gets overwhelmed smile ground aingt hard tell dont know oh dont know youre beautiful saw see youll understand want desperately right im looking cant believe dont know oh dont know youre beautiful oh thats makes beautiful nana baby light world like nobody else way flip hair gets overwhelmed smile ground aingt hard tell dont know oh dont know youre beautiful baby light world like nobody else way flip hair gets overwhelmed smile ground aingt hard tell dont know oh dont know youre beautiful oh saw see youll understand want desperately right im looking cant believe dont know oh dont know youre beautiful oh dont know youre beautiful oh thats makes beautiful"
"2012","maroon5","payphone","im payphone trying call home change spent times gone baby wrong plans made two yeah know hard remember people used even harder picture youre next say late make late try time wasted bridges burned ive wasted nights turned lights im paralyzed still stuck time called love even sun sets paradise im payphone trying call home change spent times gone baby wrong plans made two happy ever exist would still holding like fairy tales full shit fairy tales full one fucking love song ill sick one stupid love song ill sick oh turned back tomorrow cause forgot yesterday gave love borrow gave away cant expect fine oh dont expect care yeah know ive said bridges burned ive wasted nights turned lights im paralyzed still stuck time called love even sun sets paradise im payphone trying call home change spent oh times gone baby wrong plans made two yeah happy ever exist would still holding like fairy tales full shit fairy tales full one fucking love song ill sick yeah uh one stupid love song ill sick oh im payphone yeah baby dont hang tell need know baby im begging please dont go tell need know man fuck shit ill spending money youre sitting round wondering wasnt came nothing made bottom see im stunting cars start push button telling changed since blew whatever call switched number phone never could call dont need name shirt tell im balling swish shame could got picked really good game missed last shot talk see top could saw sad say phantom pulled valet open doors wished id go away got looking want go take little piece shit yeah im payphone trying call home change spent woo times gone baby wrong yeah plans made two yeah happy ever exist oh would still holding like fairy tales full shit yeah fairy tales full one fucking love song ill sick oh one stupid love song ill sick yeah im payphone"
"2012","gotye","somebodythatiusedtoknow","think together like said felt happy could die told right felt lonely company love ache still remember get addicted certain kind sadness like resignation end always end found could make sense well said would still friends ill admit glad didnt cut make like never happened nothing dont even need love treat like stranger feels rough didnt stoop low friends collect records change number guess dont need though youre somebody used know youre somebody used know youre somebody used know think times screwed believing always something id done dont wanna live way reading every word say said could let go wouldnt catch hung somebody used know didnt cut make like never happened nothing dont even need love treat like stranger feels rough didnt stoop low friends collect records change number guess dont need though youre somebody used know somebody used know somebody youre somebody used know somebody used know somebody youre somebody used know used know used know used know somebody"
"2012","elliegoulding","lights","way losing heart queen overthrown im sleeping dark hard beat im keeping strength need push show lights stop turn stone shine im alone tell ill strong dreaming theyre gone cause theyre calling home calling home show lights stop turn stone shine im alone home voices play within head touch skin hope im still breathing think back brother sister slept unknown place time feel safe show lights stop turn stone shine im alone tell ill strong dreaming theyre gone cause theyre calling home calling home show lights stop turn stone shine im alone home yeah hee light lights light lights home light lights light lights show lights stop turn stone shine im alone tell ill strong dreaming theyre gone cause theyre calling home calling home show lights stop turn stone shine im alone home light lights light lights home light lights light lights home light lights light lights home light lights light lights"
"2012","rihanna","wefoundlove","yellow diamonds light standing side side shadow crosses mine takes come alive way im feeling cant deny ive gotta let go found love hopeless place found love hopeless place found love hopeless place found love hopeless place shine light open door love life divide turn away cause need feel heartbeat mind way im feeling cant deny ive gotta let go found love hopeless place found love hopeless place found love hopeless place found love hopeless place yellow diamonds light standing side side shadow crosses mine found love hopeless place found love hopeless place found love hopeless place found love hopeless place found love hopeless place found love hopeless place found love hopeless place found love hopeless place"
"2012","carlyraejepsen","callmemaybe","threw wish well dont ask ill never tell looked fell youre way id trade soul wish pennies dimes kiss wasnt looking youre way stare holding ripped jeans skin showing hot night wind blowing think youre going baby hey met crazy heres number call maybe hard look right baby heres number call maybe hey met crazy heres number call maybe boys try chase heres number call maybe took time call took time fall gave nothing still youre way beg borrow steal first sight real didnt know would feel way stare holding ripped jeans skin showing hot night wind blowing think youre going baby hey met crazy heres number call maybe hard look right baby heres number call maybe hey met crazy heres number call maybe boys try chase heres number call maybe came life missed bad missed bad missed bad came life missed bad know missed bad hard look right baby heres number call maybe hey met crazy heres number call maybe boys try chase heres number call maybe came life missed bad missed bad missed bad came life missed bad know call maybe"
"2012","kellyclarkson","whatdoesntkillyoustronger","know bed feels warmer sleeping alone sleeping alone know dream color things want things want think got best think youve last laugh bet think everything good gone think left broken think ill come running back baby dont know cause youre dead wrong doesnt kill makes stronger stand little taller doesnt mean im lonely im alone doesnt kill makes fighter footsteps even lighter doesnt mean im cause youre gone doesnt kill makes stronger doesnt kill makes stronger stand little taller doesnt mean im lonely im alone heard starting someone new told moving didnt think id come back id come back swinging tried break see doesnt kill makes stronger stand little taller doesnt mean im lonely im alone doesnt kill makes fighter footsteps even lighter doesnt mean im cause youre gone doesnt kill makes stronger doesnt kill makes stronger stand little taller doesnt mean im lonely im alone thanks got new thing started thanks im broken hearted thanks im finally thinking bout know end day left beginning end doesnt kill makes stronger stand little taller doesnt mean im lonely im alone doesnt kill makes fighter footsteps even lighter doesnt mean im cause youre gone doesnt kill makes stronger doesnt kill makes stronger stand little taller doesnt mean im lonely im alone doesnt kill doesnt kill makes stronger doesnt kill doesnt kill makes stronger stand little taller doesnt mean im lonely im alone doesnt kill im alone"
"2012","wanted","gladyoucame","sun goes stars come counts universe never im glad came cast spell spell hit like sky fell fell decided look well well lets go somewhere one else see turn lights ill take hand another drink spend little time slipping away us stay make glad came sun goes stars come counts universe never im glad came im glad came cast spell spell hit like sky fell fell decided look well well lets go somewhere one else see turn lights ill take hand another drink spend little time slipping away us stay make glad came sun goes stars come counts universe never im glad came im glad came im glad came glad came im glad came im glad came sun goes stars come counts universe never im glad came im glad came"
